tripid,userid,name,trippointid,lat,lon,speed,recordedtimestamp,sequence,enginerpm,shorttermfuelbank1,longtermfuelbank1,throttleposition,relativethrottleposition,runtime,distancewithmil,engineload,mafflowrate,outsidetemperature,enginefuelrate,vin
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,88559310-8eb8-4114-b985-c09ca3ba8621,47.63971986,-122.1302857,-255,2018-03-14T00:00:01.1814810Z,28,5,-7,-255,323,-255,0,-255,-255,3,,20,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,30185595-fa53-4c2a-bad6-bff1aa0fc11e,47.63971986,-122.1302857,-255,2018-03-14T00:00:01.2076040Z,29,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,cff2568b-ac61-4d23-abe5-6c96fd0e07e2,47.6397274,-122.1303581,-255,2018-03-14T00:00:04.2111170Z,31,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,59f045ab-c4f6-49ee-8298-e711f9fb57c1,47.6397274,-122.1303581,-255,2018-03-14T00:00:04.1859600Z,30,-255,-255,-255,-255,-255,-255,6,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d676dc60-33b2-44bf-a2d2-79ce2d4176bf,47.6397476,-122.1304261,-255,2018-03-14T00:00:06.2241590Z,32,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,449c7bb0-efd9-40ec-8ad0-f925df49a1fb,47.6397476,-122.1304261,-255,2018-03-14T00:00:06.2515940Z,33,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,9c6cf3fe-c4f9-4d60-a2cd-d8772a7c7e56,47.63978136,-122.1304743,-255,2018-03-14T00:00:07.2125350Z,34,-255,34,1,-255,-255,-255,-255,-4,-3,,17,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,4e57e5f7-d374-40b0-a82e-89eb3d2d1a14,47.63978136,-122.1304743,-255,2018-03-14T00:00:07.2404300Z,35,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,1a1a33fc-ed72-4645-adf7-5189dd23d21f,47.63982848,-122.1305053,330,2018-03-14T00:00:08.3430680Z,36,30,1577,20,0,0,21,12,-255,-255,,-255,"CAN ERROR

>"
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,7448ab89-8d2d-42a2-a793-d29388a63fa7,47.63982848,-122.1305053,-255,2018-03-14T00:00:08.3682250Z,37,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255,"CAN ERROR

>"
